gene,pval
isogroup13878,-0.686723214
isogroup00906,-1.011963731
isogroup07519,-0.96781326
isogroup28942,-1.057252705
isogroup09876,-0.684102003
isogroup07357,-0.902935238
isogroup31871,-0.727027646
isogroup00979,-0.936855417
isogroup04015,-0.685507028
isogroup33588,-0.695801148
isogroup05502,-0.687116561
isogroup04553,-0.727537339
isogroup04855,-0.756162813
isogroup36823,-1.537090797
isogroup20230,-0.952396525
isogroup07642,-1.469060946
isogroup11453,-0.684640731
isogroup26910,-1.420459616
isogroup04312,-0.686641525
isogroup07468,-1.935702367
isogroup13852,-0.889405444
isogroup11546,-0.681382937
isogroup28663,-1.157137532
isogroup22805,-1.053978955
isogroup05306,-0.725233546
isogroup03058,-0.675971203
isogroup05034,-1.354449993
isogroup15908,-0.805434186
isogroup01877,-0.737685923
isogroup03956,-0.68271851
isogroup06000,-0.70198347
isogroup07162,-2.350448576
isogroup01902,-3.474385244
isogroup04057,-1.398774487
isogroup28923,-0.905512521
isogroup10694,-0.813831776
isogroup01957,-0.832010113
isogroup11324,-0.695486925
isogroup00006,-0.876064175
isogroup18361,-0.672196232
isogroup23357,-0.834426007
isogroup01023,-0.686221809
isogroup16875,-1.162262821
isogroup10408,-0.748255709
isogroup06803,-0.737834858
isogroup17494,-0.91606586
isogroup32216,-0.667644345
isogroup03512,-1.847694587
isogroup22049,-0.682586052
isogroup13125,-0.754164754
isogroup27361,-0.759311067
isogroup27036,-1.232354477
isogroup23756,-0.668598626
isogroup22847,-0.686821814
isogroup06341,-0.711981879
isogroup03330,-0.665709982
isogroup01124,-0.665692469
isogroup07367,-0.711829564
isogroup38099,-0.754751309
isogroup02249,-1.047861757
isogroup12488,-3.793354069
isogroup00026,-0.914162113
isogroup14635,-0.745394108
isogroup07102,-0.702190694
isogroup37020,-0.81521294
isogroup02069,-0.792014871
isogroup03646,-0.859319123
isogroup11599,-0.677965731
isogroup21781,-0.663807958
isogroup15756,-1.054554496
isogroup06123,-0.84829782
isogroup23512,-0.661582074
isogroup02944,-0.668778098
isogroup00833,-1.891406772
isogroup02561,-0.709968923
isogroup13006,-3.358833704
isogroup07454,-0.818634552
isogroup26835,-0.711602502
isogroup23368,-0.724433301
isogroup35592,-0.684189104
isogroup18057,-0.657098643
isogroup10374,-0.725759985
isogroup03455,-0.778674429
isogroup23717,-0.947737282
isogroup06302,-0.854550458
isogroup31427,-0.919605004
isogroup06433,-0.674398534
isogroup09352,-0.847038552
isogroup14667,-0.775282351
isogroup19414,-0.658873681
isogroup01884,-0.655396586
isogroup00304,-0.654648296
isogroup08721,-0.669385068
isogroup04528,-0.654220402
isogroup12854,-0.689536198
isogroup21391,-1.297146028
isogroup02585,-0.662751888
isogroup01497,-0.659775474
isogroup07267,-1.050278188
isogroup01485,-2.440451653
isogroup06475,-0.654915766
isogroup06962,-1.22797928
isogroup12884,-0.646527443
isogroup01667,-1.290891079
isogroup30822,-0.735795604
isogroup05568,-0.888267708
isogroup21798,-0.783123677
isogroup24768,-0.720048584
isogroup29404,-0.755423363
isogroup08538,-0.665049304
isogroup02761,-0.889225008
isogroup19745,-0.70922756
isogroup32133,-0.674941435
isogroup08706,-0.652443614
isogroup04053,-0.725868723
isogroup07348,-2.460487832
isogroup05824,-0.715240944
isogroup24987,-0.644993269
isogroup01468,-1.116250795
isogroup30604,-0.641711687
isogroup12929,-1.172131502
isogroup06273,-0.760609001
isogroup34182,-0.681419529
isogroup15243,-0.700386919
isogroup09044,-0.930869672
isogroup14163,-0.652876192
isogroup22525,-0.757323271
isogroup07392,-1.630532771
isogroup10160,-0.73413304
isogroup16325,-0.706176729
isogroup35146,-0.917539054
isogroup03210,-0.677041648
isogroup09672,-0.634650328
isogroup10398,-0.646914238
isogroup35737,-0.78057122
isogroup14739,-1.072347716
isogroup22562,-0.822336126
isogroup01797,-0.797630405
isogroup27054,-0.679308576
isogroup36366,-0.857191021
isogroup09461,-0.685965307
isogroup22331,-1.178700654
isogroup01385,-0.634154013
isogroup21509,-0.706663297
isogroup03075,-0.934175242
isogroup06229,-0.663800688
isogroup26200,-0.635400073
isogroup04369,-1.197795696
isogroup15638,-0.738603893
isogroup00974,-0.815488956
isogroup01741,-0.664313015
isogroup07893,-0.635287677
isogroup11837,-0.635734261
isogroup00422,-0.785692523
isogroup07586,-0.93383386
isogroup03896,-0.792733375
isogroup10031,-0.628922899
isogroup25309,-0.705757798
isogroup03319,-0.97897113
isogroup06472,-0.628991591
isogroup04443,-0.658336068
isogroup06989,-0.988211576
isogroup09747,-0.627477989
isogroup00511,-0.700651027
isogroup05983,-0.693653286
isogroup31248,-0.827297841
isogroup01830,-0.638820304
